rank,name,position,slug_espn,gp,mpg,orpm,drpm,rpm,wins
78,Otto Porter Jr.,SF,WSH,75,30.3,0.34,1.17,1.51,6.91
79,Reggie Jackson,PG,DET,79,30.7,3.27,-1.82,1.45,7
80,Cristiano Felicio,PF,CHI,31,10.4,-0.26,1.71,1.45,0.93
81,Hassan Whiteside,C,MIA,73,29.1,-1.51,2.94,1.43,5.96
82,Festus Ezeli,C,GS,46,16.7,-0.77,2.19,1.42,2.31
83,Tristan Thompson,C,CLE,82,27.7,0.13,1.24,1.37,6.3
84,Kentavious Caldwell-Pope,SG,DET,76,36.7,0.85,0.52,1.37,7.88
85,Marcus Morris,PF,DET,80,35.7,0.85,0.51,1.36,8.05
86,JR Smith,SG,CLE,77,30.7,2.56,-1.22,1.34,6.49
87,Damian Lillard,PG,POR,75,35.7,4.47,-3.16,1.31,7.65
88,Mike Scott,PF,ATL,75,15.3,0.32,0.99,1.31,3.18
89,Jeff Withey,C,UTAH,51,12.9,-1.5,2.8,1.3,1.74
90,Tiago Splitter,C,ATL,36,16.1,-0.74,1.99,1.25,1.62
91,Isaiah Thomas,PG,BOS,82,32.2,3.13,-1.89,1.24,7.58
92,Rodney Hood,SG,UTAH,79,32.2,2.21,-0.98,1.23,6.51
93,Nicolas Batum,SF,CHA,70,35,1.51,-0.29,1.22,6.75
94,Matt Bonner,C,SA,30,6.9,0.33,0.86,1.19,0.54
95,Tyreke Evans,SG,NO,25,30.6,1.06,0.09,1.15,2.01
96,Marc Gasol,C,MEM,52,34.4,-0.9,2.01,1.11,4.6
97,Taj Gibson,PF,CHI,73,26.5,-0.45,1.56,1.11,5.11
98,Giannis Antetokounmpo,PF,MIL,80,35.3,0.84,0.27,1.11,7.46
99,Jeremy Lamb,SG,CHA,66,18.6,-0.87,1.87,1,3.19
100,George Hill,PG,IND,74,34.1,0.63,0.34,0.97,6.58
101,Omri Casspi,SF,SAC,69,27.2,0.34,0.62,0.96,5.12
102,Wesley Johnson,SF,LAC,80,20.8,-1.12,2.05,0.93,4.34
