name,id,orapm,drapm,rapm,orapm_rnk,drapm_rnk,rapm_rnk,gp_total,poss_o,poss_d,poss_total,mp_o,mp_d,mp_total,pts_o,pts_d,pm,pts_o_per100,pts_o_per36
Randy Foye,200751,0.108395859034893,0.380136697657308,0.488532556692201,185,158,144,69,2575,2629,5204,621.233333333333,637.566666666667,1258.8,2877,2928,-51,55.2843966179862,82.278360343184
Chris Paul,101108,0.680059027525673,-0.200540274016611,0.479518753509062,101,257,145,61,3743,3773,7516,942.166666666667,947.816666666667,1889.98333333333,4367,4139,228,58.102714209686,83.1816859055195
Myles Turner,1626167,0.269451795858347,0.20881002692286,0.478261822781207,158,185,146,81,4889,4903,9792,1253.36666666667,1250.73333333333,2504.1,5551,5506,45,56.6891339869281,79.8035222235534
Larry Nance Jr.,1626204,-0.158180614828057,0.63019903646896,0.472018421640903,228,122,147,63,2819,2848,5667,706.966666666667,722.266666666667,1429.23333333333,3181,3216,-35,56.1319922357508,80.1240758448586
Kevin Love,201567,0.678834400647349,-0.210727172381662,0.468107228265687,102,260,148,60,3809,3759,7568,935.95,926.433333333333,1862.38333333333,4416,4167,249,58.3509513742072,85.3615886453738
Patty Mills,201988,-0.489048314600354,0.956297489462893,0.467249174862539,296,78,149,80,3427,3482,6909,881.75,882.833333333333,1764.58333333333,3698,4025,-327,53.5243884787958,75.4444391971665
Meyers Leonard,203086,-0.268822280412716,0.728692282434817,0.459870002022102,255,109,150,74,2426,2377,4803,617.333333333333,596.116666666667,1213.45,2691,2703,-12,56.0274828232355,79.8351806831761
CJ McCollum,203468,-0.363121809188809,0.822114494752961,0.458992685564152,270,98,151,80,5566,5537,11103,1384.93333333333,1372.75,2757.68333333333,6181,6317,-136,55.6696388363505,80.6894676086812
Lavoy Allen,202730,0.502887326513493,-0.0456914878346463,0.457195838678846,124,233,152,61,1707,1720,3427,426.216666666667,444.933333333333,871.15,1929,1887,42,56.2882988036183,79.7153188314297
Yogi Ferrell,1627812,-0.499428244165518,0.95016937553147,0.450741131365952,298,79,153,46,2277,2263,4540,618.55,566.4,1184.95,2506,2591,-85,55.1982378854626,76.1348580108866
Damjan Rudez,204014,1.25124362119576,-0.804118139590017,0.447125481605746,45,348,154,44,594,616,1210,153.333333333333,155.983333333333,309.316666666667,668,651,17,55.2066115702479,77.7455681879412
James Young,203923,-2.58246006827516,3.0241199200404,0.441659851765246,431,16,155,29,436,436,872,111.383333333333,107.233333333333,218.616666666667,451,515,-64,51.7201834862385,74.2669817793703
Jameer Nelson,2749,0.61448260086737,-0.178070534342967,0.436412066524404,109,256,156,75,4138,4104,8242,992.8,1029.08333333333,2021.88333333333,4760,4649,111,57.752972579471,84.7526645948909
Pascal Siakam,1627783,1.1477203034236,-0.718396971573298,0.429323331850306,56,334,157,55,1614,1660,3274,410.55,428.183333333333,838.733333333333,1834,1832,2,56.0171044593769,78.7187028058183
Davis Bertans,202722,1.21075875622905,-0.800188794355983,0.410569961873065,48,347,158,67,1567,1548,3115,405.15,399.883333333333,805.033333333333,1727,1691,36,55.4414125200642,77.2291002442963
Markieff Morris,202693,-0.401392954152304,0.803211788018672,0.401818833866368,283,101,159,76,4624,4668,9292,1161.03333333333,1155.33333333333,2316.36666666667,5167,5359,-192,55.6069737408524,80.303348635075
Chandler Parsons,202718,0.822517363506401,-0.428124930680121,0.39439243282628,87,294,160,34,1234,1252,2486,315.683333333333,341.8,657.483333333333,1407,1372,35,56.5969428801287,77.0392151892317
Al Horford,201143,0.677527315930917,-0.291799561337739,0.385727754593178,103,275,161,68,4261,4404,8665,1070.26666666667,1084.31666666667,2154.58333333333,4947,4790,157,57.0917484131564,82.6572809901373
Deron Williams,101114,0.199418973395058,0.177700874445933,0.377119847840992,170,192,162,64,3052,3081,6133,837.8,797.666666666667,1635.46666666667,3416,3452,-36,55.6986792760476,75.1932170226643
T.J. McConnell,204456,0.157225717930278,0.209500798499128,0.366726516429405,181,184,163,81,4237,4278,8515,1058.2,1058.98333333333,2117.18333333333,4724,4696,28,55.4785672342924,80.3255898166589
Zach LaVine,203897,0.876963590737307,-0.510735944582455,0.366227646154852,79,305,164,47,3351,3381,6732,844.716666666667,872.733333333333,1717.45,3859,3718,141,57.3232323232323,80.8896911118228
Tobias Harris,202699,0.359524028187849,-0.00357479131286576,0.355949236874983,141,221,165,82,4887,5042,9929,1268.15,1268.98333333333,2537.13333333333,5507,5382,125,55.4637929298016,78.140158183777
Matthew Dellavedova,203521,0.168175450699013,0.186701144558468,0.354876595257481,179,190,166,76,3821,3833,7654,978.433333333333,987.933333333333,1966.36666666667,4352,4270,82,56.8591586098772,79.6758827617772
Austin Rivers,203085,0.265618077861489,0.0859927820678416,0.351610859929331,159,209,167,74,4016,4047,8063,1018.76666666667,1019.5,2038.26666666667,4579,4485,94,56.7902765719955,80.8745993327664
Jason Smith,201160,-0.125591474805113,0.476661384646702,0.351069909841589,222,143,168,74,2138,2098,4236,537.75,536.3,1074.05,2379,2349,30,56.1614730878187,79.7393045016526
Marc Gasol,201188,0.239150710468396,0.107760325010802,0.346911035479199,162,206,169,74,4666,4827,9493,1187.75,1306.7,2494.45,5216,5295,-79,54.9457494996313,75.2775160857103
Draymond Green,203110,0.552365714296154,-0.207868763675825,0.344496950620329,116,258,170,76,5004,4993,9997,1183.43333333333,1244.1,2427.53333333333,5910,5460,450,59.1177353205962,87.644522560624
DeAndre Liggins,202732,-0.138088312703249,0.457467210577494,0.319378897874245,223,146,171,61,1482,1495,2977,384.2,375.816666666667,760.016666666667,1676,1674,2,56.2982868659725,79.3877327251595
Brandon Knight,202688,3.03927550550764,-2.73141580977263,0.307859695735001,10,439,172,54,2288,2311,4599,567.65,572.85,1140.5,2766,2372,394,60.143509458578,87.3090749671197
Jae Crowder,203109,1.29938771793965,-1.00537069570924,0.294017022230413,43,369,173,72,4611,4692,9303,1141,1154,2295,5417,5037,380,58.2285284316887,84.9725490196079
Ricky Rubio,201937,-0.0961825529051282,0.386283991517061,0.290101438611933,214,157,174,75,4763,4844,9607,1184.61666666667,1246.25,2430.86666666667,5429,5465,-36,56.5108774851671,80.4009543921235
Ty Lawson,201951,-0.764734279737616,1.03937631052708,0.274642030789464,329,68,175,69,3366,3361,6727,846.016666666667,874.233333333333,1720.25,3727,3839,-112,55.4035974431396,77.9956401685802
Jamal Murray,1627750,-0.0468417886341767,0.319855231367974,0.273013442733797,208,168,176,82,3567,3584,7151,859.35,896.516666666667,1755.86666666667,4022,4085,-63,56.243881974549,82.4618422051788
Alonzo Gee,202087,1.01500847848928,-0.757336170538649,0.257672307950627,65,340,177,12,176,192,368,43.3833333333333,45.4666666666667,88.85,203,211,-8,55.1630434782609,82.2509848058526
Marreese Speights,201578,0.208341494680263,0.0418529765440106,0.250194471224273,168,215,178,82,2496,2497,4993,641.616666666667,645.266666666667,1286.88333333333,2801,2783,18,56.0985379531344,78.3567533964488
J.J. Barea,200826,-0.173955705471365,0.415630331601418,0.241674626130054,233,153,179,35,1447,1404,2851,398.783333333333,369,767.783333333333,1592,1583,9,55.8400561206594,74.6460590010203
Boris Diaw,2564,0.928459285275003,-0.689076150586275,0.239383134688727,75,328,180,73,2354,2336,4690,617.816666666667,645.1,1262.91666666667,2643,2561,82,56.3539445628998,75.3398878258001
Derrick Rose,201565,-0.386101281043585,0.616271270328447,0.230169989284862,279,127,181,64,4261,4258,8519,1037.91666666667,1020.53333333333,2058.45,4675,4695,-20,54.8773330203076,81.7605479851345
Jerami Grant,203924,-0.00777960662677318,0.235327088511258,0.227547481884485,203,180,182,80,3078,3096,6174,781.616666666667,750.283333333333,1531.9,3408,3420,-12,55.1992225461613,80.0887786409034
Goran Dragic,201609,0.442905668840884,-0.21713498918675,0.225770679654134,133,262,183,73,4852,4850,9702,1214.68333333333,1210.56666666667,2425.25,5407,5255,152,55.7307771593486,80.2605916915782
Cory Joseph,202709,0.959072421884023,-0.74598958382885,0.213082838055172,71,338,184,80,3903,3951,7854,969.3,1022.56666666667,1991.86666666667,4419,4367,52,56.2643239113827,79.8667916192516
Sean Kilpatrick,203930,0.340851565303521,-0.134413996951543,0.206437568351977,144,248,185,70,3619,3590,7209,866.45,878.5,1744.95,4042,3946,96,56.0688028852823,83.3903550244993
Avery Bradley,202340,-0.0953342188917125,0.297802603787606,0.202468384895893,213,169,186,55,3614,3700,7314,897.25,915.083333333333,1812.33333333333,4127,4058,69,56.4260322668854,81.9782968548832
DeAndre Jordan,201599,0.860376493586255,-0.67796715260674,0.182409340979515,82,326,187,81,5008,5083,10091,1256.53333333333,1270.73333333333,2527.26666666667,5859,5529,330,58.0616390843326,83.4593368329421
Brandon Rush,201575,0.495545929377993,-0.323211420022526,0.172334509355467,127,277,188,47,2002,1983,3985,498.333333333333,512.733333333333,1011.06666666667,2301,2217,84,57.741530740276,81.929315574311
Harrison Barnes,203084,-0.487057424524209,0.655173915051977,0.168116490527768,294,121,189,79,5170,5111,10281,1443.38333333333,1322.11666666667,2765.5,5677,5780,-103,55.2183639723762,73.9005604773097
Tim Frazier,204025,-0.381206227414431,0.528783510050851,0.14757728263642,277,135,190,65,3012,3046,6058,740.183333333333,772.216666666667,1512.4,3271,3410,-139,53.9947177286233,77.8603544035969
Wayne Ellington,201961,0.17178534520413,-0.0251373491301823,0.146647996073947,177,227,191,62,2947,2914,5861,751.15,737.866666666667,1489.01666666667,3286,3168,118,56.0655178297219,79.4457192106648
Wesley Matthews,202083,-0.3988008192386,0.525581902510274,0.126781083271673,282,136,192,73,4621,4575,9196,1291.23333333333,1173.73333333333,2464.96666666667,5084,5160,-76,55.2849064810787,74.2500912791248
Vince Carter,1713,-0.303866198868684,0.426796395971911,0.122930197103227,260,151,193,73,3332,3479,6811,851.783333333333,943.683333333333,1795.46666666667,3671,3834,-163,53.8981060049919,73.6053765037873
Jordan McRae,203895,-0.761315180676461,0.883842762544635,0.122527581868174,328,91,194,37,732,772,1504,193.45,184.316666666667,377.766666666667,812,877,-65,53.9893617021277,77.3810994441013
Caris LeVert,1627747,-0.0437604611651584,0.156488835663326,0.112728374498167,207,195,195,57,2575,2590,5165,606.583333333333,619.416666666667,1226,2864,2868,-4,55.4501452081317,84.0978792822186
Jeremy Lamb,203087,-0.0995013508853419,0.198347622012985,0.0988462711276435,216,189,196,62,2223,2231,4454,547.25,590.566666666667,1137.81666666667,2471,2470,1,55.4782218230804,78.181312162182
Nikola Mirotic,202703,0.590895846742791,-0.496015145759456,0.0948807009833347,111,302,197,70,3290,3326,6616,825.333333333333,848.05,1673.38333333333,3653,3575,78,55.214631197098,78.5880899973108
Gerald Henderson,201945,0.825871672418143,-0.731380454019709,0.0944912183984343,86,335,198,72,3291,3334,6625,829.833333333333,825.316666666667,1655.15,3726,3584,142,56.2415094339623,81.0415974382986
Giannis Antetokounmpo,203507,0.475404203221322,-0.391813333336616,0.0835908698847059,129,285,199,80,5393,5417,10810,1404.78333333333,1398.68333333333,2803.46666666667,6186,5960,226,57.2247918593895,79.4359364596214
Nik Stauskas,203917,0.286304434425454,-0.209573600452603,0.0767308339728507,155,259,200,80,4343,4346,8689,1095.66666666667,1082.28333333333,2177.95,4852,4724,128,55.8407181493843,80.200188250419
Brandon Jennings,201943,0.7227073542927,-0.65049130413329,0.0722160501594099,96,323,201,81,3652,3652,7304,902.683333333333,895.216666666667,1797.9,4091,3936,155,56.0104052573932,81.9155681628567
Denzel Valentine,1627756,-0.659168122857162,0.711229919288719,0.0520617964315568,315,111,202,57,1910,1884,3794,487.866666666667,485.333333333333,973.2,2060,2091,-31,54.2962572482868,76.2022194821208
Marcus Smart,203935,0.067013564267059,-0.0240836934711017,0.0429298707959573,188,226,203,79,4804,4797,9601,1204.65,1196.43333333333,2401.08333333333,5439,5248,191,56.6503489219873,81.548190053101
Tiago Splitter,201168,4.32787093912101,-4.28903464382044,0.0388362953005723,4,451,204,8,153,166,319,36.7666666666667,39.7166666666667,76.4833333333333,188,167,21,58.9341692789969,88.4898670734365
Jonas Valanciunas,202685,-0.160100568613534,0.1835734674342,0.0234728988206661,229,191,205,80,3945,4039,7984,990.683333333333,1036.85,2027.53333333333,4393,4534,-141,55.0225450901804,78.0001972840562
,,6.20490429724611e-06,2.69108527346233e-06,8.89598957070844e-06,200,220,206,,,,,,,,,,,,
Jeremy Lin,202391,0.218620904032519,-0.219644273745719,-0.00102336971319972,165,264,207,36,1849,1848,3697,433.1,437.9,871,2077,2018,59,56.1806870435488,85.8461538461538
Courtney Lee,201584,-0.207106810305915,0.166142764938621,-0.0409640453672938,240,194,208,77,4888,4941,9829,1207.21666666667,1209.53333333333,2416.75,5386,5406,-20,54.7970291993082,80.2300610323782
Gordon Hayward,202330,-0.529313968121501,0.484266065797174,-0.0450479023243263,303,140,209,73,4705,4647,9352,1211.01666666667,1274.43333333333,2485.45,5115,5218,-103,54.6941830624465,74.0871874308475
Paul Millsap,200794,0.194326661984502,-0.251696812028444,-0.0573701500439421,171,268,210,69,4595,4617,9212,1135,1179.1,2314.1,5077,5063,14,55.1128962223187,78.9818936087464
Mike Muscala,203488,-0.982035851892196,0.922815896682888,-0.0592199552093079,354,85,211,70,2429,2435,4864,605.95,632.633333333333,1238.58333333333,2605,2736,-131,53.5567434210526,75.7155352216914
DeAndre' Bembry,1627761,-0.916833821204428,0.857564353192937,-0.0592694680114914,346,94,212,37,720,712,1432,183.25,186.816666666667,370.066666666667,756,795,-39,52.7932960893855,73.5435056746532
Troy Daniels,203584,-0.123564796599566,0.0603161168440376,-0.0632486797555284,220,211,213,67,2231,2329,4560,570.616666666667,613.4,1184.01666666667,2459,2521,-62,53.9254385964912,74.7658394448276
Nene,2403,-0.267564581990512,0.201508948025325,-0.0660556339651874,254,188,214,67,2483,2461,4944,597.65,607.616666666667,1205.26666666667,2833,2774,59,57.3017799352751,84.6186182864097
Dennis Schroder,203471,-0.359232689602217,0.286066578485828,-0.0731661111163888,269,173,215,79,4870,4947,9817,1189.61666666667,1256.41666666667,2446.03333333333,5322,5468,-146,54.2120810838342,78.3276324934247
Sergio Rodriguez,200771,-0.039078794438209,-0.0386963715014379,-0.0777751659396469,206,231,216,68,2964,2984,5948,754.433333333333,741.683333333333,1496.11666666667,3276,3245,31,55.0773369199731,78.8280771330222
Kelly Oubre Jr.,1626162,-0.62243184788553,0.543334913189079,-0.0790969346964514,313,133,217,79,3190,3129,6319,796,798.7,1594.7,3536,3514,22,55.9582212375376,79.8244183859033
Dion Waiters,203079,-0.696100103751832,0.578020166995439,-0.118079936756393,319,130,218,46,2682,2738,5420,672.883333333333,692.233333333333,1365.11666666667,2910,3017,-107,53.690036900369,76.740693713602
Semaj Christon,203902,-0.124439555132467,0.0031875241601581,-0.121252030972308,221,217,219,64,1878,1886,3764,488.233333333333,479.6,967.833333333333,2068,2075,-7,54.9415515409139,76.9223351127949
Will Barton,203115,-0.250335255917059,0.111551956196953,-0.138783299720106,253,202,220,60,3446,3421,6867,831.783333333333,861.1,1692.88333333333,3864,3892,-28,56.2691131498471,82.1698679767261
Stanley Johnson,1626169,0.550125248299185,-0.704576046966817,-0.154450798667632,117,330,221,77,2581,2736,5317,673.233333333333,699.633333333333,1372.86666666667,2880,2900,-20,54.1658830167388,75.5208080415675
Carmelo Anthony,2546,0.237441633607198,-0.404786555002767,-0.167344921395569,164,290,222,74,5125,5177,10302,1248.56666666667,1259.5,2508.06666666667,5687,5617,70,55.2028732284993,81.629409106616
Kris Dunn,1627739,-0.228810748598935,0.0572899841239345,-0.171520764475001,246,212,223,78,2584,2557,5141,657.5,667.65,1325.15,2904,2826,78,56.4870647733904,78.8922008829189
Elfrid Payton,203901,-0.0544861148671834,-0.117491747407471,-0.171977862274654,209,244,224,82,4840,4873,9713,1192.03333333333,1194.31666666667,2386.35,5400,5276,124,55.5955935344384,81.463322647558
Hassan Whiteside,202355,-0.121059934523235,-0.0512146221611561,-0.172274556684391,219,235,225,77,4905,4916,9821,1229.5,1245.66666666667,2475.16666666667,5403,5346,57,55.0147642806232,78.5837990707696
Justin Anderson,1626147,-1.5229893581422,1.34884848052409,-0.174140877618113,392,48,226,75,2415,2322,4737,633.983333333333,586.566666666667,1220.55,2583,2667,-84,54.5281823939202,76.1853262873295
Rajon Rondo,200765,-0.997146802302085,0.813148566949191,-0.183998235352894,356,99,227,69,3611,3662,7273,897.85,927.016666666667,1824.86666666667,3890,4027,-137,53.485494293964,76.7398531399554
Thaddeus Young,201152,-0.235977841251453,0.0453724112160162,-0.190605430035437,248,213,228,74,4306,4384,8690,1086.26666666667,1113.45,2199.71666666667,4840,4889,-49,55.6962025316456,79.2102013138056
Gorgui Dieng,203476,0.176803577629149,-0.37456403387827,-0.197760456249121,174,283,229,82,5096,5155,10251,1285.11666666667,1332.06666666667,2617.18333333333,5826,5733,93,56.8334796605209,80.1380619113423
Ed Davis,202334,1.10184690060489,-1.32747273796418,-0.225625837359286,61,395,230,46,1557,1578,3135,387.483333333333,397.666666666667,785.15,1781,1716,65,56.8102073365231,81.6608291409285
Kentavious Caldwell-Pope,203484,0.705894517078936,-0.939685933387466,-0.233791416308529,97,361,231,76,4861,5106,9967,1243.53333333333,1258.71666666667,2502.25,5547,5331,216,55.6536570683255,79.8049755220302
Rodney Hood,203918,-0.2095914563759,-0.0288023510189863,-0.238393807394886,241,228,232,59,2953,2926,5879,766,799.166666666667,1565.16666666667,3212,3246,-34,54.6351420309577,73.8783942072197
Georges Niang,1627777,-2.19935034970055,1.95836816862137,-0.240982181079176,419,26,233,22,179,194,373,41.3833333333333,48.7,90.0833333333333,184,218,-34,49.3297587131367,73.531914893617
Rondae Hollis-Jefferson,1626178,0.141046692508352,-0.391726520219251,-0.250679827710899,183,284,234,78,3592,3673,7265,860.016666666667,883.033333333333,1743.05,4018,4025,-7,55.3062629043359,82.9855712687531
Lucas Nogueira,203512,-1.92140835972701,1.66654209829535,-0.254866261431661,410,35,235,56,2180,2129,4309,544.966666666667,541.266666666667,1086.23333333333,2326,2479,-153,53.9800417730332,77.0884094884463
Serge Ibaka,201586,-0.0990917783716536,-0.160978875074061,-0.260070653445715,215,253,236,79,4695,4742,9437,1188.05,1189.3,2377.35,5232,5140,92,55.4413478859807,79.2277115275412
Corey Brewer,201147,0.448711287168578,-0.717208699593825,-0.268497412425247,131,333,237,82,2550,2548,5098,629.883333333333,643.433333333333,1273.31666666667,2922,2809,113,57.3165947430365,82.6125996413566
Buddy Hield,1627741,-0.600100426592038,0.331432962400944,-0.268667464191095,309,166,238,82,3694,3712,7406,907.866666666667,949.116666666667,1856.98333333333,4013,4128,-115,54.1857953011072,77.7971441136611
Derrick Jones Jr.,1627884,1.62239539170098,-1.89108520497997,-0.268689813278992,28,429,239,32,1117,1132,2249,270.266666666667,268.2,538.466666666667,1284,1188,96,57.0920409070698,85.8437538690108
Andre Drummond,203083,0.974969976917934,-1.26393275198033,-0.288962775062392,70,393,240,81,4562,4817,9379,1182.21666666667,1193.28333333333,2375.5,5262,4987,275,56.1040622667662,79.744053883393
Ron Baker,1627758,-0.00458792876115128,-0.286797221944474,-0.291385150705625,201,274,241,52,1646,1696,3342,420.766666666667,427.383333333333,848.15,1804,1845,-41,53.9796529024536,76.5713611979013
Bobby Brown,201628,-0.962409190729048,0.668380554208562,-0.294028636520486,352,120,242,23,256,264,520,60.6166666666667,61.85,122.466666666667,284,309,-25,54.6153846153846,83.4839412084921
Gary Payton II,1627780,-3.69891519809506,3.3981175784292,-0.300797619665863,441,8,243,6,188,182,370,50.6833333333333,48.15,98.8333333333333,193,216,-23,52.1621621621622,70.3001686340641
Dorian Finney-Smith,1627827,-0.228942412762353,-0.0771001295777484,-0.306042542340101,247,240,244,81,3040,3028,6068,830.916666666667,787.6,1618.51666666667,3325,3396,-71,54.7956493078444,73.9566063576732
PJ Tucker,200782,-0.427379851468575,0.109875405272306,-0.317504446196269,287,204,245,81,4407,4483,8890,1108.28333333333,1121.33333333333,2229.61666666667,4965,4943,22,55.8492688413948,80.1662468137273
Mindaugas Kuzminskas,1627851,0.00839033484509695,-0.327574949876841,-0.319184615031744,198,279,246,68,2015,2052,4067,505.9,510.366666666667,1016.26666666667,2206,2227,-21,54.2414556183919,78.1448438729992
Jaylen Brown,1627759,-0.656905528343785,0.337005933968607,-0.319899594375178,314,165,247,78,2601,2646,5247,663.066666666667,663.516666666667,1326.58333333333,2895,2915,-20,55.1743853630646,78.5627237891827
E'Twaun Moore,202734,-0.479429631207802,0.110761973254181,-0.368667657953621,293,203,248,73,3635,3686,7321,889.716666666667,921.05,1810.76666666667,3939,4091,-152,53.8041251195192,78.3115807300775
Dirk Nowitzki,1717,-0.214936040742105,-0.15694140653753,-0.371877447279636,242,252,249,54,2700,2705,5405,734.316666666667,667.616666666667,1401.93333333333,2993,3014,-21,55.3746530989824,76.8567216700747
Terrence Jones,203093,-0.669347972219111,0.291871029837252,-0.37747694238186,316,172,250,54,2539,2556,5095,626.016666666667,641.3,1267.31666666667,2711,2816,-105,53.2090284592738,77.0099554176147
Ivica Zubac,1627826,-1.7201135785301,1.32388931943854,-0.396224259091558,399,49,251,38,1254,1252,2506,302.5,301.366666666667,603.866666666667,1372,1455,-83,54.7486033519553,81.7928902627512
Boban Marjanovic,1626246,0.0165020580496241,-0.413136452151914,-0.39663439410229,196,291,252,34,555,592,1147,141.35,150.216666666667,291.566666666667,610,633,-23,53.1822144725371,75.31725162913
Spencer Hawes,201150,1.01535037052758,-1.42405015887692,-0.408699788349341,64,405,253,53,1588,1572,3160,397.05,400.116666666667,797.166666666667,1810,1682,128,57.2784810126582,81.7394940413966
Dario Saric,203967,-0.435266781038874,0.0122957685756915,-0.422971012463182,288,216,254,81,4242,4242,8484,1065.56666666667,1054.5,2120.06666666667,4676,4646,30,55.1155115511551,79.4012766894123
Malcolm Delaney,1627098,-0.509934158079234,0.0863018041311092,-0.423632353948124,301,208,255,73,2428,2384,4812,619.866666666667,628.416666666667,1248.28333333333,2622,2627,-5,54.4887780548628,75.6174479618677
Marvin Williams,101107,0.310636444012394,-0.735539977707138,-0.424903533694744,151,337,256,76,4397,4504,8901,1091.65,1158.31666666667,2249.96666666667,4938,4915,23,55.4769127064375,79.0091705062297
DeMarre Carroll,201960,-0.506975263796738,0.0692742624704857,-0.437701001326252,300,210,257,72,3647,3653,7300,913.35,935.166666666667,1848.51666666667,4032,4089,-57,55.2328767123288,78.5235008249858
Ersan Ilyasova,101141,0.396073442939083,-0.848813816812981,-0.452740373873898,136,354,258,82,4220,4308,8528,1036.93333333333,1076.98333333333,2113.91666666667,4707,4597,110,55.1946529080675,80.1602081444396
Luc Mbah a Moute,201601,0.588050673790194,-1.04454204695314,-0.456491373162944,112,374,259,80,3472,3527,6999,861.55,887.7,1749.25,4044,3809,235,57.7796828118303,83.2265256538517
Joffrey Lauvergne,203530,0.271572270057466,-0.731875713558105,-0.460303443500639,157,336,260,70,1945,1950,3895,494.266666666667,487.683333333333,981.95,2159,2098,61,55.4300385109114,79.1527063496105
Glenn Robinson III,203922,-0.367217470725038,-0.101208135046713,-0.46842560577175,274,242,261,69,2764,2834,5598,688.133333333333,721.416666666667,1409.55,3064,3111,-47,54.7338335119686,78.2547621581356
Brook Lopez,201572,-0.487607422284965,0.00103936473044308,-0.486568057554522,295,218,262,75,4587,4593,9180,1084.05,1100.35,2184.4,5055,5060,-5,55.0653594771242,83.3089177806263
C.J. Watson,201228,-0.36712382125641,-0.140368542212823,-0.507492363469233,273,249,263,62,1941,1986,3927,500.766666666667,501.216666666667,1001.98333333333,2135,2129,6,54.367201426025,76.7078627389012
Maurice Ndour,1626254,-0.74002506439553,0.222407953341701,-0.517617111053828,326,182,264,32,634,649,1283,162.2,164.333333333333,326.533333333333,681,717,-36,53.078721745908,75.0796243364639
Justin Hamilton,203120,0.316653526557287,-0.846231945287229,-0.529578418729942,149,352,265,64,2406,2410,4816,583.816666666667,588.75,1172.56666666667,2703,2598,105,56.125415282392,82.9871791227222
Willie Cauley-Stein,1626161,-0.878219895703181,0.338787953622115,-0.539431942081066,339,164,266,75,2732,2685,5417,691.333333333333,716.983333333333,1408.31666666667,3015,3041,-26,55.658113346871,77.0707345649061
JaMychal Green,203210,-0.422371150506211,-0.12128265090318,-0.543653801409391,285,245,267,77,3835,3959,7794,988.666666666667,1069.16666666667,2057.83333333333,4235,4329,-94,54.3366692327431,74.0876326233093
Andrew Nicholson,203094,1.45269599523255,-2.00084190785547,-0.54814591262292,36,431,268,38,669,661,1330,168.766666666667,175.55,344.316666666667,778,689,89,58.4962406015038,81.3437242848153
Gerald Green,101123,-0.773116707165528,0.20804497946622,-0.565071727699308,330,186,269,47,1077,1063,2140,271.15,265.45,536.6,1182,1173,9,55.2336448598131,79.2992918374953
Jarrod Uthoff,1627784,-4.23383710844252,3.66349734226964,-0.570339766172881,446,7,270,9,223,221,444,58.2333333333333,55.6166666666667,113.85,219,269,-50,49.3243243243243,69.2490118577075
George Hill,201588,-0.442999086973935,-0.133846736807585,-0.57684582378152,289,247,271,49,2844,2870,5714,730.666666666667,788,1518.66666666667,3108,3195,-87,54.3927196359818,73.675153643547
Shabazz Muhammad,203498,-0.033283402637973,-0.558100128227224,-0.591383530865197,205,313,272,78,2933,2991,5924,740.233333333333,776.183333333333,1516.41666666667,3313,3276,37,55.9250506414585,78.6512062427873
Matt Barnes,2440,0.0455253965861213,-0.638900795392427,-0.593375398806306,190,320,273,74,3403,3456,6859,866.366666666667,909.7,1776.06666666667,3861,3802,59,56.2910045196093,78.2605758042116
Steven Adams,203500,-0.704064189878709,0.109326427243103,-0.594737762635606,321,205,274,80,4749,4864,9613,1196.28333333333,1151.15,2347.43333333333,5167,5364,-197,53.750130032248,79.2405890121125
Thabo Sefolosha,200757,-0.58081337169571,-0.019817200370333,-0.600630572066043,307,225,275,62,3129,3118,6247,777.533333333333,801.533333333333,1579.06666666667,3408,3430,-22,54.5541860092845,77.6965295955417
Langston Galloway,204038,-1.2371181558139,0.621437965586838,-0.615680190227061,376,126,276,74,2987,2951,5938,738.5,756.783333333333,1495.28333333333,3172,3316,-144,53.4186594813068,76.3681353589621
Rodney McGruder,203585,-0.289618869083569,-0.33240598176432,-0.622024850847889,259,281,277,78,3788,3849,7637,959.166666666667,971.2,1930.36666666667,4162,4157,5,54.4978394657588,77.6184144635734
Isaiah Whitehead,1627785,-1.57285240166778,0.944714218880045,-0.628138182787733,395,81,278,73,3363,3331,6694,810.833333333333,813.6,1624.43333333333,3616,3741,-125,54.0185240513893,80.1362526419469
Anderson Varejao,2760,-3.87170837117745,3.23070952818077,-0.640998842996672,444,12,279,14,187,192,379,43.7666666666667,48.6666666666667,92.4333333333333,191,228,-37,50.3957783641161,74.388748647674
Anthony Morrow,201627,1.46356437805497,-2.10628349298875,-0.642719114933783,33,433,280,49,1435,1454,2889,355.2,358.05,713.25,1632,1516,116,56.4901349948079,82.3722397476341
Tony Allen,2754,-0.323674409194953,-0.331602893610631,-0.655277302805584,264,280,281,71,3477,3658,7135,890.933333333333,990.4,1881.33333333333,3857,3987,-130,54.0574632095305,73.8051027639972
Eric Gordon,201569,0.337075107619298,-1.00258859094515,-0.665513483325849,146,368,282,75,4781,4767,9548,1146.23333333333,1175.55,2321.78333333333,5529,5272,257,57.9074151654797,85.7289296302411
Shelvin Mack,202714,-0.146853246512416,-0.531959344726691,-0.678812591239106,225,308,283,55,2267,2216,4483,595.45,606.933333333333,1202.38333333333,2480,2448,32,55.3200981485612,74.2525262326213
Kay Felder,1627770,-0.427192065723736,-0.267107071675231,-0.694299137398967,286,271,284,42,705,768,1473,183.983333333333,194,377.983333333333,785,853,-68,53.2926001357773,74.7652012875347
